"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2018","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","7.0","8.2","8.0"
"2018","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","6.6","7.7","8.0"
"2018","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","6.7","8.0","7.9"
"2018","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.9","8.3","7.9"
"2018","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","6.6","7.9","7.8"
"2018","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","6.4","7.5","7.8"
"2018","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","6.7","8.2","7.7"
"2018","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","6.5","8.0","7.6"
"2018","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","6.6","8.0","7.6"
"2018","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","6.6","8.0","7.6"
"2018","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","6.2","7.3","7.6"
"2018","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","6.4","8.0","7.5"
"2018","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","6.1","7.8","7.0"
